Aaron Copland
Fanny Stål
Farhad Badalbeyli
Fazıl Say
Felicja Blumental
Felix Blumenfeld
Felix Fox
Ferdinand Ries
Ferruccio Busoni
Florence Kirsch Du Brul
Fou Ts'ong
France Clidat
Francesco Nicolosi
Francis Planté
Francis Poulenc
Franciszek Zachara
François-Joël Thiollier
François-René Duchâble
François-Xavier Poizat
Frank Glazer
Frans van Ruth
Franz Lauska
Franz Liszt
Franz Schubert
Franz Xaver Wolfgang Mozart
Freddy Kempf
Frédéric Chopin
Frederick B. Kiddle
Frederic Lamond
Frederic Rzewski
Frederik Magle
Fridtjof Backer-Grøndahl
Friedrich Gulda
Friedrich Kalkbrenner
Friedrich Kuhlau
Friedrich Wührer
Frits Hartvigson
Gabriela Montero
Gabriel Tacchino
Gaby Casadesus
Garrick Ohlsson
Gary Cooper
Gary Graffman
Gary Kirkpatrick
Geir Botnen
Geneviève Joy-Dutilleux
Geoffrey Douglas Madge
Geoffrey Lancaster
Geoffrey Saba
Geoffrey Tozer
George-Emmanuel Lazaridis
George Pinto
Georges Bizet
Georges Cziffra
Gerald Moore
Gerard Hengeveld
Gerardo Teissonniere
Gerard Willems
Gergely Bogányi
Gerhard Oppitz
Géza Anda
Gianluca Cascioli
Gian Paolo Chiti
Gilbert Kalish
Gina Bachauer
Giorgio Koukl
Giovanni Velluti
Giuseppe Albanese
Giuseppe Martucci
Glenn Gould
Gonzalo Soriano
Grace Fong
Graham Fitch
Graham Johnson
Grant Johannesen
Graziella Concas
Grete Sultan
Grigory Ginzburg
Grigory Sokolov
Güher Pekinel
Guido Agosti
Guiomar Novaes
Gunnar Johansen
Gustav Kross
Gustav Nottebohm
György Sándor
Halina Czerny-Stefańska
Hamish Milne
Hans Bischoff
Hans Richter-Haaser
Hans von Bülow
Harold Bauer
Harold Morris
Harold Samuel
Harriet Cohen
Harrison Potter
Hazel Scott
Heather Slade-Lipkin
Heinrich Barth
Heinrich Gebhard
Heinrich Neuhaus
Hélène Grimaud
Hélène Tysman
Helmut Roloff
Helmut Schmidt
Hendrik Bouman
Henri Bertini
Henriette Gaertner
Henri Herz
Henrique Oswald
Henry Cowell
Henry Jolles
Hephzibah Menuhin
Herman Rietzel
Homero Francesch
Horacio Gutiérrez
Horacio Lavandera
Howard Shelley
Huw Watkins
Iain Farrington
Ian Hobson
Ian Munro
İdil Biret
Ignacy Jan Paderewski
Ignaz Brüll
Ignaz Friedman
Ignaz Moscheles
Ignaz Pleyel
Ignaz Tiegerman
Igor Lazko
Igor Levit
Igor Zhukov
Ilana Vered
Ilona Kabos
Ilona Štěpánová-Kurzová
Ilse von Alpenheim
Imogen Cooper
Ingmar Lazar
Ingolf Wunder
Ingrid Fliter
Ingrid Fuzjko V. Georgii-Hemming
Ingrid Haebler
Inna Heifetz
Irene Scharrer
Irén Marik
Iris Loveridge
Isaac Albéniz
Isador Goodman
Isidor Philipp
Isidor Seiss
Ivana Gavrić
Ivan Davis
Ivan Ilić
Ivan Moravec
Ivan Sokolov
Ivan Vihor
Ivo Pogorelić
Jaap Spaanderman
Jack Gibbons
Jacob Lateiner
Jacques Abram
Jacques Février
Jacques Klein
Jacques Rouvier
Jakob Gimpel
James Henry Fields
James Levine
James Lisney
James Russo
James Tocco
Jan Chiapusso
Janina Fialkowska
Jan Ladislav Dussek
Jan Lisiecki
Jan Smeterlin
Janusz Olejniczak
Jason Kouchak
Jean Casadesus
Jean Dubé
Jean-Marc Luisada
Jean-Marc Savelli
Jeanne-Marie Darré
Jeanne You
Jean-Philippe Collard
Jean-Pierre Marty
Jean-Yves Thibaudet
Jeffrey Grice
Jeffrey Kahane
Jenny Lin
Jenő Jandó
Jens Harald Bratlie
Jeremy Denk
Jerome Lowenthal
Jerome Rose
Jesús Maria Sanromá
Jill Crossland
Jim Brickman
Joan Chissell
Joanna MacGregor
João Carlos Martins
Joel Fan
Johann Baptist Cramer
Johannes Brahms
Johann Friedrich Franz Burgmüller
Johann Nepomuk Hummel
Johann Peter Pixis
Johann Sebastian Bach
John Browning
John Carmichael
John Contiguglia
John Field
John Kirkpatrick
John Lill
John O'Conor
John Ogdon
John Vallier
Jonathan Biss
Jonathan Plowright
Jonathan Powell
Jon Kimura Parker
Jon Nakamatsu
Jörg Demus
Jorge Bolet
José Cubiles
Josef Bulva
José Feghali
Josef Hofmann
Josef Lhévinne
José Iturbi
Joseph Banowetz
Joseph Haydn
Joseph Kalichstein
Joseph Villa
Joseph Wölfl
Joseph Wölfl
José Vianna da Motta
Jos Van Immerseel
Joyce Hatto
Jozef De Beenhouwer
Jozef Kapustka
Józef Turczyński
Juan María Solare
Judith Gordon
Julian Cochran
Julian Fontana
Julius Epstein
Julius Katchen
Julius Reubke
Julius Röntgen
Jura Margulis
Jurij Moskvitin
Justus Frantz
Kaikhosru Shapurji Sorabji
Ka Ling Colleen Lee
Karin Dayas
Karl Engel
Karl Ulrich Schnabel
Karol Mikuli
Károly Thern
Kate Liu
Kathleen Long
Kathryn Selby
Kathryn Stott
Katia Labèque
Katrine Gislinge
Kei Itoh
Kemal Gekić
Kenneth G. Mills
Kevin Kenner
Khatia Buniatishvili
Kirill Gerstein
Kit Armstrong
Konstantin Igumnov
Konstantin Scherbakov
Krystian Zimerman
Krzysztof Malek
Kun-Woo Paik
Lamar Crowson
Lang Lang
Larry Sitsky
László Gyimesi
Lazar Berman
Leff Pouishnoff
Leif Ove Andsnes
Leonard Bernstein
Leonard Borwick
Leonard Pennario
Leonard Shure
Leon Bates
Leon Fleisher
Leonid Hambro
Leonid Kuzmin
Leon McCawley
Leo Ornstein
Leo Podolsky
Leopold Godowsky
Leopold Kozeluch
Leo Sirota
Leo Smit
Lera Auerbach
Leslie Howard
Lev Oborin
Liberace
Lico Jiménez
Lili Kraus
Lilya Zilberstein
Lindley Evans
Lívia Rév
Li Yundi
Lloyd Powell
Llŷr Williams
Lola Astanova
Louis Brassin
Louis Demetrius Alvanis
Louis Diémer
Louis Kentner
Louis Lortie
Louis Moreau Gottschalk
Louis Teicher
Louis Thern
Lubka Kolessa
Ludwig Abeille
Ludwig Schuncke
Ludwig van Beethoven
Lydia Artymiw
Madeline Schiller
Magda Tagliaferro
Malcolm Bilson
Malcolm Binns
Malcolm Frager
Malcolm Martineau
Malcolm Williamson
Marc-André Hamelin
Marcel Ciampi
Marcelle Meyer
Margaret Fingerhut
Marguerite Long
Maria Grinberg
Maria João Pires
Marianna Kapsetaki
Maria Yudina
Marie-Léontine Bordes-Pène
Marielle Labèque
Marie Novello
Marija Gluvakov
Mari Kodama
Marina Yakhlakova
Marjan Rawicz
Mark Gasser
Mark Hambourg
Marko Savić
Mark Taimanov
Mark Zeltser
Marmaduke Barton
Martha Argerich
Martha Mier
Martin Berkofsky
Martin James Bartlett
Martin Katz
Martin Krause
Martin Roscoe
Martin Stadtfeld
Maryla Jonas
Marylene Dosse
Mary Louise Boehm
Massimiliano Frani
Mathilde Verne
Matthijs Verschoor
Maurizio Pollini
Max Trapp
Maya Matievich
Menahem Pressler
Michael Endres
Michael Glenn Williams
Michael Habermann
Michael Kieran Harvey
Michael Ponti
Michael Raucheisen
